,Load,Trial_Type,Audio,RT_VS,Sound_Onset,Sound_Hz,RT_TO,Acc_VS,Acc_DT
241,high,No Target,Normal,NaN,None,None,NaN,999,0
242,high,No Target,Normal,NaN,None,None,NaN,999,0
243,high,No Target,Normal,NaN,None,None,NaN,999,0
244,high,No Target,Normal,NaN,None,None,NaN,999,0
245,high,No Target,Normal,NaN,None,None,NaN,999,0
246,high,Target Present,Critical,0.605,0.438,tone2,0.5269999999999999,999,1
247,high,No Target,Normal,NaN,None,None,NaN,999,0
248,high,No Target,Normal,NaN,None,None,NaN,999,0
249,high,No Target,Normal,NaN,None,None,NaN,999,0
250,high,No Target,Normal,NaN,None,None,NaN,999,0
251,high,No Target,Normal,NaN,None,None,NaN,999,0
252,high,No Target,Normal,NaN,None,None,NaN,999,0
253,high,No Target,Normal,NaN,None,None,NaN,999,0
254,high,No Target,Normal,NaN,None,None,NaN,999,0
255,high,No Target,Normal,NaN,None,None,NaN,999,0
256,high,No Target,Normal,NaN,None,None,NaN,999,0
257,high,No Target,Normal,NaN,None,None,NaN,999,0
258,high,No Target,Normal,NaN,None,None,NaN,999,0
259,high,No Target,Normal,NaN,None,None,NaN,999,0
260,high,No Target,Normal,NaN,None,None,NaN,999,0
261,high,No Target,Critical,NaN,0.934,tone4,0.4259999999999998,999,1
262,high,No Target,Normal,NaN,None,None,NaN,999,0
263,high,No Target,Normal,NaN,None,None,NaN,999,0
264,high,No Target,Normal,NaN,None,None,NaN,999,0
265,high,No Target,Normal,NaN,None,None,NaN,999,0
266,high,No Target,Normal,NaN,None,None,NaN,999,0
267,high,No Target,Critical,NaN,0.984,tone3,0.478,999,1
268,high,No Target,Normal,NaN,None,None,NaN,999,0
269,high,No Target,Normal,NaN,None,None,NaN,999,0
270,high,No Target,Normal,NaN,None,None,NaN,999,0
271,high,No Target,Normal,NaN,None,None,NaN,999,0
272,high,No Target,Normal,NaN,None,None,NaN,999,0
273,high,No Target,Normal,NaN,None,None,NaN,999,0
274,high,No Target,Normal,NaN,None,None,NaN,999,0
275,high,No Target,Normal,NaN,None,None,NaN,999,0
276,high,Target Absent,Critical,0.6459999999999999,0.503,tone1,0.45499999999999996,999,1
277,high,No Target,Normal,NaN,None,None,NaN,999,0
278,high,No Target,Normal,NaN,None,None,NaN,999,0
279,high,No Target,Critical,NaN,0.273,tone1,0.43199999999999994,999,1
280,high,No Target,Normal,NaN,None,None,NaN,999,0
281,high,No Target,Normal,NaN,None,None,NaN,999,0
282,high,No Target,Normal,NaN,None,None,NaN,999,0
283,high,No Target,Normal,NaN,None,None,NaN,999,0
284,high,No Target,Normal,NaN,None,None,NaN,999,0
285,high,No Target,Normal,NaN,None,None,NaN,999,0
286,high,No Target,Normal,NaN,None,None,NaN,999,0
287,high,Target Present,Normal,0.6499999999999999,None,None,NaN,1,0
288,high,No Target,Normal,NaN,None,None,NaN,999,0
289,high,No Target,Critical,NaN,0.447,tone3,NaN,999,0
290,high,No Target,Normal,NaN,None,None,NaN,999,0
291,high,No Target,Normal,NaN,None,None,NaN,999,0
292,high,Target Absent,Critical,0.935,0.658,tone1,0.6209999999999999,999,1
293,high,No Target,Normal,NaN,None,None,NaN,999,0
294,high,No Target,Normal,NaN,None,None,NaN,999,0
295,high,Target Present,Normal,0.605,None,None,NaN,1,0
296,high,No Target,Normal,NaN,None,None,NaN,999,0
297,high,No Target,Normal,NaN,None,None,NaN,999,0
298,high,No Target,Critical,NaN,0.981,tone4,0.561,999,1
299,high,Target Absent,Normal,0.806,None,None,NaN,1,0
300,low,No Target,Normal,NaN,None,None,NaN,999,0
301,low,No Target,Critical,NaN,0.919,tone4,0.488,999,1
302,low,No Target,Normal,NaN,None,None,NaN,999,0
303,low,No Target,Normal,NaN,None,None,NaN,999,0
304,low,No Target,Normal,NaN,None,None,NaN,999,0
305,low,No Target,Critical,NaN,0.238,tone3,0.45999999999999996,999,1
306,low,No Target,Normal,NaN,None,None,NaN,999,0
307,low,No Target,Normal,NaN,None,None,NaN,999,0
308,low,No Target,Normal,NaN,None,None,NaN,999,0
309,low,No Target,Normal,NaN,None,None,NaN,999,0
310,low,No Target,Normal,NaN,None,None,NaN,999,0
311,low,No Target,Normal,NaN,None,None,NaN,999,0
312,low,No Target,Normal,NaN,None,None,NaN,999,0
313,low,No Target,Normal,NaN,None,None,NaN,999,0
314,low,No Target,Normal,NaN,None,None,NaN,999,0
315,low,No Target,Critical,NaN,0.803,tone2,0.386,999,1
316,low,No Target,Normal,NaN,None,None,NaN,999,0
317,low,No Target,Critical,NaN,0.14,tone3,0.471,999,1
318,low,No Target,Normal,NaN,None,None,NaN,999,0
319,low,No Target,Normal,NaN,None,None,NaN,999,0
320,low,No Target,Normal,NaN,None,None,NaN,999,0
321,low,No Target,Normal,NaN,None,None,NaN,999,0
322,low,No Target,Normal,NaN,None,None,NaN,999,0
323,low,No Target,Normal,NaN,None,None,NaN,999,0
324,low,No Target,Normal,NaN,None,None,NaN,999,0
325,low,No Target,Critical,NaN,0.565,tone1,0.5090000000000001,999,1
326,low,No Target,Normal,NaN,None,None,NaN,999,0
327,low,No Target,Normal,NaN,None,None,NaN,999,0
328,low,No Target,Normal,NaN,None,None,NaN,999,0
329,low,Target Present,Normal,0.6439999999999999,None,None,NaN,1,0
330,low,No Target,Normal,NaN,None,None,NaN,999,0
331,low,No Target,Critical,NaN,0.438,tone4,0.48200000000000004,999,1
332,low,No Target,Normal,NaN,None,None,NaN,999,0
333,low,Target Absent,Normal,0.653,None,None,0.485,1,0
334,low,No Target,Normal,NaN,None,None,NaN,999,0
335,low,No Target,Normal,NaN,None,None,NaN,999,0
336,low,No Target,Normal,NaN,None,None,NaN,999,0
337,low,No Target,Normal,NaN,None,None,NaN,999,0
338,low,No Target,Normal,NaN,None,None,NaN,999,0
339,low,No Target,Normal,NaN,None,None,NaN,999,0
340,low,No Target,Normal,NaN,None,None,NaN,999,0
341,low,No Target,Normal,NaN,None,None,NaN,999,0
342,low,Target Absent,Critical,0.627,0.478,tone2,0.509,999,1
343,low,No Target,Normal,NaN,None,None,NaN,999,0
344,low,No Target,Normal,NaN,None,None,NaN,999,0
345,low,No Target,Normal,NaN,None,None,NaN,999,0
346,low,No Target,Normal,NaN,None,None,NaN,999,0
347,low,No Target,Normal,NaN,None,None,NaN,999,0
348,low,Target Present,Critical,0.7609999999999999,0.658,tone3,0.527,999,1
349,low,No Target,Normal,NaN,None,None,NaN,999,0
350,low,No Target,Normal,NaN,None,None,NaN,999,0
351,low,No Target,Normal,NaN,None,None,NaN,999,0
352,low,No Target,Normal,NaN,None,None,NaN,999,0
353,low,No Target,Normal,NaN,None,None,NaN,999,0
354,low,Target Present,Normal,0.633,None,None,NaN,1,0
355,low,No Target,Normal,NaN,None,None,NaN,999,0
356,low,No Target,Normal,NaN,None,None,NaN,999,0
357,low,No Target,Normal,NaN,None,None,NaN,999,0
358,low,No Target,Critical,NaN,0.401,tone3,0.488,999,1
359,low,Target Absent,Normal,0.647,None,None,NaN,1,0
360,low,No Target,Normal,NaN,None,None,NaN,999,0
361,low,No Target,Normal,NaN,None,None,NaN,999,0
362,low,No Target,Normal,NaN,None,None,NaN,999,0
363,low,No Target,Normal,NaN,None,None,NaN,999,0
364,low,No Target,Normal,NaN,None,None,NaN,999,0
365,low,No Target,Critical,NaN,0.485,tone4,0.507,999,1
366,low,No Target,Normal,NaN,None,None,NaN,999,0
367,low,No Target,Critical,NaN,0.494,tone1,0.41400000000000003,999,1
368,low,No Target,Normal,NaN,None,None,NaN,999,0
369,low,No Target,Normal,NaN,None,None,NaN,999,0
370,low,No Target,Normal,NaN,None,None,NaN,999,0
371,low,No Target,Normal,NaN,None,None,NaN,999,0
372,low,No Target,Normal,NaN,None,None,NaN,999,0
373,low,No Target,Normal,NaN,None,None,NaN,999,0
374,low,No Target,Normal,NaN,None,None,NaN,999,0
375,low,No Target,Normal,NaN,None,None,NaN,999,0
376,low,No Target,Normal,NaN,None,None,NaN,999,0
377,low,No Target,Critical,NaN,0.803,tone3,0.4049999999999999,999,1
378,low,No Target,Normal,NaN,None,None,NaN,999,0
379,low,No Target,Normal,NaN,None,None,NaN,999,0
380,low,No Target,Normal,NaN,None,None,NaN,999,0
381,low,No Target,Normal,NaN,None,None,NaN,999,0
382,low,No Target,Normal,NaN,None,None,NaN,999,0
383,low,No Target,Normal,NaN,None,None,NaN,999,0
384,low,No Target,Normal,NaN,None,None,NaN,999,0
385,low,No Target,Normal,NaN,None,None,NaN,999,0
386,low,No Target,Critical,NaN,0.351,tone4,0.46599999999999997,999,1
387,low,No Target,Normal,NaN,None,None,NaN,999,0
388,low,No Target,Normal,NaN,None,None,NaN,999,0
389,low,No Target,Normal,NaN,None,None,NaN,999,0
390,low,No Target,Normal,NaN,None,None,NaN,999,0
391,low,No Target,Normal,NaN,None,None,NaN,999,0
392,low,Target Present,Normal,0.621,None,None,NaN,1,0
393,low,No Target,Normal,NaN,None,None,NaN,999,0
394,low,No Target,Normal,NaN,None,None,NaN,999,0
395,low,No Target,Normal,NaN,None,None,NaN,999,0
396,low,Target Present,Normal,0.5980000000000001,None,None,NaN,1,0
397,low,No Target,Normal,NaN,None,None,NaN,999,0
398,low,No Target,Normal,NaN,None,None,NaN,999,0
399,low,No Target,Critical,NaN,0.991,tone3,0.37,999,1
400,low,No Target,Normal,NaN,None,None,NaN,999,0
401,low,Target Absent,Normal,0.7430000000000001,None,None,NaN,1,0
402,low,No Target,Normal,NaN,None,None,NaN,999,0
403,low,No Target,Normal,NaN,None,None,NaN,999,0
404,low,No Target,Normal,NaN,None,None,NaN,999,0
405,low,No Target,Normal,NaN,None,None,NaN,999,0
406,low,No Target,Normal,NaN,None,None,NaN,999,0
407,low,Target Absent,Normal,0.6160000000000001,None,None,NaN,1,0
408,low,No Target,Critical,NaN,0.316,tone1,0.538,999,1
409,low,Target Absent,Normal,0.6439999999999999,None,None,NaN,1,0
410,low,No Target,Normal,NaN,None,None,NaN,999,0
411,low,No Target,Normal,NaN,None,None,NaN,999,0
412,low,No Target,Critical,NaN,0.825,tone2,0.41900000000000004,999,1
413,low,No Target,Normal,NaN,None,None,NaN,999,0
414,low,No Target,Normal,NaN,None,None,NaN,999,0
415,low,No Target,Normal,NaN,None,None,NaN,999,0
416,low,No Target,Critical,NaN,0.775,tone2,0.398,999,1
417,low,No Target,Normal,NaN,None,None,NaN,999,0
418,low,No Target,Critical,NaN,0.659,tone1,0.46199999999999997,999,1
419,low,Target Present,Normal,0.8009999999999999,None,None,NaN,1,0
420,high,No Target,Normal,NaN,None,None,NaN,999,0
421,high,No Target,Normal,NaN,None,None,NaN,999,0
422,high,No Target,Normal,NaN,None,None,NaN,999,0
423,high,No Target,Critical,NaN,0.565,tone1,0.496,999,1
424,high,No Target,Normal,NaN,None,None,NaN,999,0
425,high,No Target,Normal,NaN,None,None,NaN,999,0
426,high,No Target,Normal,NaN,None,None,NaN,999,0
427,high,No Target,Normal,NaN,None,None,NaN,999,0
428,high,No Target,Normal,NaN,None,None,NaN,999,0
429,high,No Target,Normal,NaN,None,None,NaN,999,0
430,high,No Target,Normal,NaN,None,None,NaN,999,0
431,high,No Target,Normal,NaN,None,None,NaN,999,0
432,high,No Target,Normal,NaN,None,None,NaN,999,0
433,high,No Target,Normal,NaN,None,None,NaN,999,0
434,high,No Target,Normal,NaN,None,None,NaN,999,0
435,high,No Target,Normal,NaN,None,None,NaN,999,0
436,high,No Target,Critical,NaN,0.636,tone2,0.392,999,1
437,high,Target Absent,Normal,0.6120000000000001,None,None,NaN,1,0
438,high,No Target,Normal,NaN,None,None,NaN,999,0
439,high,Target Present,Normal,0.641,None,None,NaN,1,0
440,high,No Target,Normal,NaN,None,None,NaN,999,0
441,high,No Target,Normal,NaN,None,None,NaN,999,0
442,high,No Target,Normal,NaN,None,None,NaN,999,0
443,high,No Target,Normal,NaN,None,None,NaN,999,0
444,high,No Target,Critical,NaN,0.437,tone2,0.467,999,1
445,high,No Target,Normal,NaN,None,None,NaN,999,0
446,high,Target Present,Normal,0.78,None,None,NaN,1,0
447,high,No Target,Normal,NaN,None,None,NaN,999,0
448,high,No Target,Normal,NaN,None,None,NaN,999,0
449,high,No Target,Normal,NaN,None,None,NaN,999,0
450,high,Target Present,Normal,0.5740000000000001,None,None,NaN,1,0
451,high,No Target,Critical,NaN,0.273,tone4,0.573,999,1
452,high,No Target,Normal,NaN,None,None,NaN,999,0
453,high,No Target,Normal,NaN,None,None,NaN,999,0
454,high,No Target,Normal,NaN,None,None,NaN,999,0
455,high,No Target,Critical,NaN,0.023,tone4,0.64,999,1
456,high,No Target,Normal,NaN,None,None,NaN,999,0
457,high,No Target,Normal,NaN,None,None,NaN,999,0
458,high,No Target,Normal,NaN,None,None,NaN,999,0
459,high,Target Absent,Normal,1.0150000000000001,None,None,NaN,1,0
460,high,No Target,Normal,NaN,None,None,NaN,999,0
461,high,No Target,Critical,NaN,0.653,tone1,0.47699999999999987,999,1
462,high,No Target,Normal,NaN,None,None,NaN,999,0
463,high,No Target,Normal,NaN,None,None,NaN,999,0
464,high,No Target,Normal,NaN,None,None,NaN,999,0
465,high,No Target,Normal,NaN,None,None,NaN,999,0
466,high,No Target,Normal,NaN,None,None,NaN,999,0
467,high,No Target,Normal,NaN,None,None,NaN,999,0
468,high,No Target,Normal,NaN,None,None,NaN,999,0
469,high,No Target,Normal,NaN,None,None,NaN,999,0
470,high,No Target,Critical,NaN,0.478,tone1,NaN,999,0
471,high,No Target,Normal,NaN,None,None,NaN,999,0
472,high,No Target,Normal,NaN,None,None,NaN,999,0
473,high,No Target,Critical,NaN,0.59,tone3,0.45400000000000007,999,1
474,high,No Target,Normal,NaN,None,None,NaN,999,0
475,high,No Target,Normal,NaN,None,None,NaN,999,0
476,high,No Target,Normal,NaN,None,None,NaN,999,0
477,high,No Target,Normal,NaN,None,None,NaN,999,0
478,high,No Target,Critical,NaN,0.802,tone4,0.46399999999999997,999,1
479,high,Target Absent,Normal,0.6579999999999999,None,None,NaN,1,0
